times,Y_label,gas_v,mole
20.0,0.0,0.0,39.709564208984375
278.77728,4.741708478669603e-05,9.685672526106973e-06,39.687485694885254
537.5462,9.483263739501324e-05,1.9328149047737584e-05,39.66531181335449
796.2984,0.0001422451256465728,2.9573946444050186e-05,39.643208503723145
1055.0256,0.00018965303973056348,3.9830283508617085e-05,39.621009826660156
1313.7194,0.00023705481391725507,5.00969016532785e-05,39.59872341156006
1572.3716,0.0002844489831309715,6.085279484229161e-05,39.5765495300293
1830.9736,0.00031600692716977707,7.168221689498165e-05,39.55977821350098
2089.5176,0.00034089457374942287,8.251366683009344e-05,39.54527568817139
2347.9944,0.0003657757575069151,9.335030461454521e-05,39.53075122833252
2606.3965,0.0003906497499059382,0.0001041918578901314,39.51619815826416
2864.715,0.0004155157049043193,0.0001150379957866938,39.501617431640625
3122.9421,0.00044037284696340004,0.0001258883492685509,39.48702049255371
3381.0693,0.00046522037704335045,0.00013675080787948384,39.4724702835083
3639.0886,0.0004900575196055122,0.0001476245872634249,39.45797061920166
3896.9915,0.0005148834521088837,0.00015850157498728074,39.44344615936279
4154.77,0.0005396974225159782,0.00016938144335778142,39.4289026260376
4412.415,0.0005644985377822798,0.000180263803281875,39.41434192657471
4669.919,0.000589286069371473,0.00019114836916700448,39.399763107299805
4927.2744,0.000614059312248414,0.00020203487565158282,39.385162353515625
5184.4717,0.0006388173263662438,0.0002129228788002686,39.3705472946167
5441.504,0.0006635594536921615,0.0002249027311190156,39.35638904571533
5698.363,0.0006882848951863369,0.0002370137499545405,39.342286109924316
5955.04,0.0007129928518089405,0.0002491250761995593,39.32816028594971
6211.527,0.0007376824775177992,0.00026123618895527214,39.31403350830078
6467.8154,0.0007623530202754261,0.00027334682562731575,39.29989051818848
6723.899,0.0007870038220490201,0.00028545662552215237,39.28573989868164
6979.768,0.0008116339897940655,0.00029756518350348255,39.27157688140869
7235.415,0.0008362427714730752,0.0003098936149851992,39.25751495361328
7490.833,0.0008608295090532481,0.00032293409035344384,39.24378681182861
7746.0127,0.0008853933094900685,0.0003359716489035029,39.23005485534668
8000.9473,0.0009099335147507354,0.000349005960364362,39.21631908416748
8255.628,0.0009344492787930758,0.00036203657072042,39.202579498291016
8510.048,0.0009589399435842886,0.00037506309300370166,39.18883991241455
8764.197,0.0009834045690775152,0.0003880850916981301,39.175095558166504
9018.07,0.0010078425912446404,0.0004011022071620206,39.16135025024414
9271.659,0.0010322532580481771,0.0004145521155768856,39.147823333740234
9524.957,0.0010566359114553242,0.0004283879634465776,39.13449478149414
9777.953,0.0010809895174145373,0.00044221698561063596,39.121161460876465
10030.641,0.001105313417893015,0.00045603862333027127,39.107839584350586
10283.016,0.0011296072368720141,0.0004698527112352255,39.09451961517334
10535.068,0.0011538700343046758,0.00048365875613577534,39.08120155334473
10786.788,0.0011781007761394555,0.0004974561774762308,39.06788444519043
11038.171,0.0012022990863576096,0.0005112445781076619,39.05458068847656
11289.21,0.0012264643069263375,0.0005265106933188536,39.04191017150879
11539.897,0.0012505956858081515,0.0005422595423308137,39.029457092285156
11790.223,0.0012746921889515074,0.0005579958401291102,39.01700973510742
12040.182,0.0012987534403376619,0.00057371921682768,39.00457572937012
12289.768,0.0013227787819338136,0.000589429222506126,38.992154121398926
12538.973,0.0013467674617024757,0.0006051252388258972,38.97975158691406
12787.786,0.0013707184455921035,0.0006208067282449468,38.96735763549805
13036.206,0.0013946315455933252,0.0006364733884775561,38.954983711242676
13284.223,0.0014185058216592823,0.0006518566655232447,38.94271945953369
13531.83,0.0014423407097618596,0.0006671908798955112,38.93048095703125
13779.02,0.001466135363858884,0.000682508777684353,38.91826248168945
14025.785,0.0014898892199222402,0.0006978100221630751,38.90606498718262
14272.122,0.0015136018079284993,0.0007130944751134592,38.893879890441895
14518.021,0.0015372722818354882,0.0007283615889195363,38.881699562072754
14763.476,0.00156089988960572,0.0007436106952780691,38.869537353515625
15008.48,0.0015844842552204513,0.0007588414596897367,38.85739517211914
15253.027,0.001610984388569568,0.0007760254989510589,38.841386795043945
15497.11,0.0016385842087296295,0.0007933811078792472,38.82358360290527
15740.723,0.001666130803875319,0.000810719793077666,38.80578804016113
15983.858,0.0016936235114545903,0.000828040928417327,38.788002014160156
16226.512,0.0017210616689153973,0.0008453439594901882,38.77023220062256
16468.674,0.001748444282429671,0.0008626282404517558,38.75247764587402
